index,totalseconds,Gender,Age,Grade,Subject,PEdS1,PEdS2,PEdS3,PEdS4,PEmS1,PEmS2,PEmS3,PEmS4,PU1,PU2,PU3,CON1,CON2,CON3,SAT1,SAT2,SAT3,CI1,CI2,CI3
135,127,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3
136,52,1,2,1,1,4,5,4,4,4,5,4,5,4,5,4,5,5,5,4,4,5,5,4,4
137,79,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
138,115,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,4,5,5,5
139,143,2,2,1,1,4,5,4,4,4,4,4,4,3,3,3,3,4,4,3,4,4,4,4,4
140,128,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
141,106,2,2,1,1,1,2,4,5,3,5,4,4,2,3,3,3,3,3,3,3,3,3,3,3
142,105,2,2,1,1,4,4,4,4,3,4,3,4,3,4,4,3,4,3,4,4,4,4,4,4
143,165,2,2,1,1,4,5,5,4,5,5,5,5,5,4,3,4,4,5,5,5,5,5,5,4
144,167,2,2,1,1,4,5,5,5,4,5,4,5,3,3,3,2,2,3,4,4,4,4,5,3
145,127,2,2,1,1,3,3,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
146,64,1,2,1,1,3,1,1,4,5,1,3,1,5,5,5,5,5,5,5,5,5,5,5,5
147,81,2,3,1,1,5,5,5,5,3,4,4,5,4,4,4,4,4,4,4,4,4,5,4,4
148,183,2,2,1,1,3,3,4,4,2,3,4,4,1,3,2,2,3,3,3,3,2,2,3,3
149,243,2,1,1,1,4,4,5,4,4,3,4,3,4,4,4,3,3,2,2,3,2,3,3,3
150,268,1,2,1,1,4,3,3,4,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4
151,134,2,2,1,1,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
152,198,2,2,1,1,4,4,4,4,3,3,5,5,3,3,2,2,4,2,2,3,3,2,2,2
153,245,2,2,1,1,5,5,5,5,5,5,5,5,3,2,2,2,2,4,3,4,4,4,4,2
154,244,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
155,148,2,2,1,1,4,3,4,5,2,3,4,3,3,2,4,2,4,3,4,4,4,4,4,3
156,324,1,2,1,1,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,2,4
157,378,2,2,1,1,4,4,5,5,4,5,3,4,4,4,4,2,2,2,3,4,4,4,4,4
158,124,2,1,1,1,4,4,4,4,4,4,5,5,5,4,4,5,5,4,5,4,5,4,4,4
159,55,2,2,1,1,4,4,4,5,5,4,5,5,5,5,5,4,4,5,4,5,4,5,4,5
160,108,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
161,46,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
162,70,2,2,1,1,3,2,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4
163,85,2,2,1,1,4,5,5,5,5,5,5,5,4,4,5,5,5,5,3,5,5,5,5,5
164,124,2,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
165,78,2,1,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
166,86,2,1,1,1,4,4,4,4,4,5,5,5,4,4,4,3,3,4,4,4,4,4,5,4
167,114,2,1,1,1,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,3,4,3,4,4
168,71,1,2,1,1,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4
169,91,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
170,92,2,1,1,2,4,4,4,5,5,3,4,4,3,3,3,3,4,3,3,3,3,3,3,3
171,81,2,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
172,77,2,1,1,1,4,4,5,5,3,3,3,5,5,5,3,3,2,2,3,3,3,3,3,3
173,104,2,2,1,2,4,3,4,3,2,3,4,4,4,4,4,3,4,3,2,4,3,4,4,4
174,247,1,2,1,1,4,4,4,3,3,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4
175,106,1,2,1,2,4,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
176,118,2,2,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
177,132,2,2,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
178,151,2,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
179,147,2,2,1,2,4,3,5,4,5,4,5,4,3,4,5,4,4,4,4,4,4,4,4,4
180,296,1,2,1,1,4,3,3,1,1,1,1,5,4,4,4,4,4,5,5,5,5,5,5,4
