index,totalseconds,Gender,Age,Grade,Subject,PEdS1,PEdS2,PEdS3,PEdS4,PEmS1,PEmS2,PEmS3,PEmS4,PU1,PU2,PU3,CON1,CON2,CON3,SAT1,SAT2,SAT3,CI1,CI2,CI3,Straight_Line_Flag,Very_Fast_Flag,High_Risk_Flag,Strict_Duplicate_Flag
154,244,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,True,False,False,False
155,148,2,2,1,1,4,3,4,5,2,3,4,3,3,2,4,2,4,3,4,4,4,4,4,3,False,False,False,False
156,324,1,2,1,1,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,2,4,False,False,False,False
157,378,2,2,1,1,4,4,5,5,4,5,3,4,4,4,4,2,2,2,3,4,4,4,4,4,False,False,False,False
158,124,2,1,1,1,4,4,4,4,4,4,5,5,5,4,4,5,5,4,5,4,5,4,4,4,False,False,False,False
159,55,2,2,1,1,4,4,4,5,5,4,5,5,5,5,5,4,4,5,4,5,4,5,4,5,False,False,False,False
160,108,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,True,False,False,False
161,46,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,True,True,True,True
162,70,2,2,1,1,3,2,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,False,False,False,False
163,85,2,2,1,1,4,5,5,5,5,5,5,5,4,4,5,5,5,5,3,5,5,5,5,5,False,False,False,False
164,124,2,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,True,False,False,False
165,78,2,1,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,False,False,False,False
166,86,2,1,1,1,4,4,4,4,4,5,5,5,4,4,4,3,3,4,4,4,4,4,5,4,False,False,False,False
167,114,2,1,1,1,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,3,4,3,4,4,False,False,False,False
168,71,1,2,1,1,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,False,False,False,False
169,91,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,True,False,False,False
170,92,2,1,1,2,4,4,4,5,5,3,4,4,3,3,3,3,4,3,3,3,3,3,3,3,False,False,False,False
171,81,2,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,True,False,False,False
